Date,Open,High,Low,Close,Volume
06/17/2020,4.54,4.83,4.53,4.76,"35,93,466"
06/16/2020,4.95,4.95,4.51,4.64,"31,23,535"
06/15/2020,4.5,4.77,4.42,4.69,"39,10,385"
06-12-2020,4.6,4.78,4.39,4.72,"43,78,192"
06-11-2020,4.64,4.9,4.18,4.37,"62,35,993"
06-10-2020,4.78,5.53,4.68,5.07,"1,06,06,370"
06-09-2020,5,5,4.55,4.96,"80,73,448"
06-08-2020,4.28,5.14,4.27,5.01,"1,01,33,660"
06-05-2020,4.29,4.41,4.09,4.14,"62,74,428"
06-04-2020,4.44,4.72,4.37,4.47,"35,14,299"
06-03-2020,4.24,4.52,4.2,4.44,"30,37,424"
06-02-2020,4.27,4.31,4.06,4.18,"23,69,780"
06-01-2020,4.12,4.36,4.02,4.13,"26,18,424"
05/29/2020,4.33,4.42,4.05,4.06,"39,73,540"
05/28/2020,4.75,4.76,4.3,4.33,"21,84,367"
05/27/2020,4.57,4.71,4.36,4.69,"31,46,603"
05/26/2020,4.34,4.61,4.33,4.42,"35,45,926"
05/22/2020,4.46,4.49,4.13,4.18,"23,79,851"
05/21/2020,4.45,4.65,4.4,4.44,"19,71,906"
05/20/2020,4.5,4.69,4.34,4.43,"25,43,609"
05/19/2020,4.58,4.75,4.37,4.44,"18,40,732"
05/18/2020,4.4,4.63,4.36,4.58,"23,71,694"
05/15/2020,4.05,4.45,4.04,4.22,"19,40,704"
05/14/2020,4.15,4.19,3.96,4.13,"20,04,868"
05/13/2020,4.54,4.54,4.07,4.21,"28,82,877"
05-12-2020,4.78,4.92,4.46,4.54,"26,39,157"
05-11-2020,4.92,4.96,4.75,4.76,"16,99,158"
05-08-2020,4.88,5.19,4.82,4.98,"23,53,661"
05-07-2020,4.83,4.94,4.65,4.87,"25,01,195"
05-06-2020,5.4,5.4,4.9,4.93,"33,69,640"
05-05-2020,5.55,5.63,5.35,5.39,"21,05,919"
05-04-2020,5.84,5.93,5.4,5.48,"40,68,105"
05-01-2020,5.65,6.18,5.45,6.05,"40,05,598"
04/30/2020,5.87,5.98,5.64,5.73,"21,73,530"
04/29/2020,5.83,6.09,5.45,6.04,"33,70,045"
04/28/2020,5.92,6.04,5.06,5.64,"52,00,189"
04/27/2020,4.85,5.99,4.81,5.82,"72,75,138"
04/24/2020,4.78,4.85,4.66,4.77,"22,36,544"
04/23/2020,4.75,4.89,4.58,4.7,"22,65,853"
04/22/2020,5.14,5.17,4.83,4.89,"26,78,133"
04/21/2020,5.23,5.3,4.76,4.78,"41,42,050"
04/20/2020,4.85,5.9,4.78,5.61,"60,85,011"
04/17/2020,5.22,5.28,4.43,4.88,"56,53,188"
04/16/2020,5.12,5.44,4.88,5.03,"33,71,921"
04/15/2020,5.66,5.67,4.9,5.27,"74,99,854"
04/14/2020,5.21,6.47,5.14,5.95,"1,35,06,630"
04/13/2020,4.25,4.76,4.16,4.74,"68,44,501"
04-09-2020,3.6,4.25,3.49,3.89,"59,08,916"
04-08-2020,3.23,3.67,3.2,3.41,"28,84,528"
04-07-2020,3.39,3.44,3.1,3.27,"28,36,859"
04-06-2020,2.86,3.2,2.83,3.09,"33,31,070"
04-03-2020,2.85,2.94,2.57,2.8,"38,30,761"
04-02-2020,3.26,3.35,2.85,2.85,"40,64,339"
04-01-2020,3.45,3.49,3.12,3.25,"45,68,695"
03/31/2020,3.63,3.8,3.5,3.5,"23,04,132"
03/30/2020,4.22,4.27,3.65,3.65,"33,50,571"
03/27/2020,4.94,5.09,4.15,4.22,"70,24,763"
03/26/2020,4.24,4.71,4.24,4.41,"62,10,979"
03/25/2020,4.15,4.49,4.04,4.17,"35,92,059"
03/24/2020,3.95,4.21,3.89,4.16,"68,05,659"
03/23/2020,3.58,3.86,3.5,3.81,"60,09,784"
03/20/2020,4.08,4.08,3.65,3.76,"77,22,194"
03/19/2020,3.71,4.2,3.55,4.19,"50,39,539"
03/18/2020,4.1,4.25,3.5,3.77,"36,51,709"
03/17/2020,4.4,4.65,4.11,4.23,"35,62,210"
03/16/2020,3.93,4.57,3.9,4.37,"48,66,696"
